Case ID,Original File,Status,Pages,Raw Chars,Cleaned Chars,Output File,Error
case_001,putusan_107_pid.sus_2021_pn_jkt.sel_20260624185710.pdf,success,41,140425,91347,case_001_putusan_107_pid_sus_2021_pn_jkt_sel_20260624185710.txt,
case_002,putusan_10_pid.sus_2025_pt_bdg_20260624190424.pdf,success,9,27462,16671,case_002_putusan_10_pid_sus_2025_pt_bdg_20260624190424.txt,
case_003,putusan_1174_pid.sus_2021_pn_jkt.utr_20260624185123.pdf,success,16,50333,31192,case_003_putusan_1174_pid_sus_2021_pn_jkt_utr_20260624185123.txt,
case_004,putusan_1221_pid.sus_2020_pt_sby_20260624184940.pdf,success,20,56034,32505,case_004_putusan_1221_pid_sus_2020_pt_sby_20260624184940.txt,
case_005,putusan_134_pid.sus_2018_pn_bnr_20260624185857.pdf,success,37,129282,84810,case_005_putusan_134_pid_sus_2018_pn_bnr_20260624185857.txt,
case_006,putusan_1357_pid.sus_2021_pt_mdn_20260624190325.pdf,success,36,127986,85433,case_006_putusan_1357_pid_sus_2021_pt_mdn_20260624190325.txt,
case_007,putusan_1536_pid.sus_2019_pn_jkt.brt_20260624185350.pdf,success,51,170996,112755,case_007_putusan_1536_pid_sus_2019_pn_jkt_brt_20260624185350.txt,
case_008,putusan_1537_pid.sus_2019_pn_jkt.brt_20260624185405.pdf,success,55,177648,114910,case_008_putusan_1537_pid_sus_2019_pn_jkt_brt_20260624185405.txt,
case_009,putusan_1597_pid.sus_2019_pn_jkt.utr_20260624185744.pdf,success,26,84502,53379,case_009_putusan_1597_pid_sus_2019_pn_jkt_utr_20260624185744.txt,
case_010,putusan_159_pid.sus_2023_pn_sda_20260624190433.pdf,success,77,263174,171141,case_010_putusan_159_pid_sus_2023_pn_sda_20260624190433.txt,
case_011,putusan_165_pid.sus_2020_pn_jkt.utr_20260624124027.pdf,success,27,92094,59818,case_011_putusan_165_pid_sus_2020_pn_jkt_utr_20260624124027.txt,
case_012,putusan_167_pid.sus_2019_pn_ckr_20260624185039.pdf,success,18,58983,37426,case_012_putusan_167_pid_sus_2019_pn_ckr_20260624185039.txt,
case_013,putusan_1682_pid.sus_2025_pn_tng_20260624190003.pdf,success,19,60196,37437,case_013_putusan_1682_pid_sus_2025_pn_tng_20260624190003.txt,
case_014,putusan_2584_pid.sus_2025_pn_sby_20260624185952.pdf,success,15,52983,35978,case_014_putusan_2584_pid_sus_2025_pn_sby_20260624185952.txt,
case_015,putusan_265_pid.sus_2019_pn_bks_20260624185416.pdf,success,26,85704,54683,case_015_putusan_265_pid_sus_2019_pn_bks_20260624185416.txt,
case_016,putusan_266_pid.sus_2019_pn_sbw_20260624185151.pdf,success,78,257499,164231,case_016_putusan_266_pid_sus_2019_pn_sbw_20260624185151.txt,
case_017,putusan_274_pid.sus_2026_pt_tjk_20260624185955.pdf,success,13,39320,23690,case_017_putusan_274_pid_sus_2026_pt_tjk_20260624185955.txt,
case_018,putusan_27_pid.sus_2023_pn_pnn_20260624185907.pdf,success,22,74856,48500,case_018_putusan_27_pid_sus_2023_pn_pnn_20260624185907.txt,
case_019,putusan_27_pid.sus_2025_pn_bgl_20260624185839.pdf,success,21,69337,44336,case_019_putusan_27_pid_sus_2025_pn_bgl_20260624185839.txt,
case_020,putusan_2831_pid.sus_2025_pn_sby_20260624134018.pdf,success,14,46447,29641,case_020_putusan_2831_pid_sus_2025_pn_sby_20260624134018.txt,
case_021,putusan_32_pid.sus_2020_pn_mjn_20260624185654.pdf,success,24,75980,47309,case_021_putusan_32_pid_sus_2020_pn_mjn_20260624185654.txt,
case_022,putusan_331_pid.sus_2019_pt_dki_20260624190333.pdf,success,21,71814,47884,case_022_putusan_331_pid_sus_2019_pt_dki_20260624190333.txt,
case_023,putusan_337_pid.sus_2020_pt_dki_20260624124151.pdf,success,11,34669,22167,case_023_putusan_337_pid_sus_2020_pt_dki_20260624124151.txt,
case_024,putusan_3399_pid.sus_2019_pn_sby_20260624112132.pdf,success,15,49616,31695,case_024_putusan_3399_pid_sus_2019_pn_sby_20260624112132.txt,
case_025,putusan_371_pid.sus_2025_pn_gpr_20260624190459.pdf,success,28,98662,65283,case_025_putusan_371_pid_sus_2025_pn_gpr_20260624190459.txt,
case_026,putusan_394_pid.sus_2018_pn_pbr_20260624095617.pdf,success,64,193726,116766,case_026_putusan_394_pid_sus_2018_pn_pbr_20260624095617.txt,
case_027,putusan_3_pid.sus_2020_pn_sgr_20260624185521.pdf,success,19,62558,39909,case_027_putusan_3_pid_sus_2020_pn_sgr_20260624185521.txt,
case_028,putusan_419_pid.sus_2023_pn_jkt.sel_20260623174821.pdf,success,39,117325,70327,case_028_putusan_419_pid_sus_2023_pn_jkt_sel_20260623174821.txt,
case_029,putusan_446_pid.sus_2021_pn_jkt.utr_20260624190610.pdf,success,35,112694,70631,case_029_putusan_446_pid_sus_2021_pn_jkt_utr_20260624190610.txt,
case_030,putusan_451_pid.sus_2025_pn_dps_20260624185850.pdf,success,30,96923,61152,case_030_putusan_451_pid_sus_2025_pn_dps_20260624185850.txt,
case_031,putusan_52_pid.sus_2021_pn_dgl_20260624190339.pdf,success,24,77360,48774,case_031_putusan_52_pid_sus_2021_pn_dgl_20260624190339.txt,
case_032,putusan_582_pid.sus_2025_pn_jkt.sel_20260624185830.pdf,success,30,97342,61255,case_032_putusan_582_pid_sus_2025_pn_jkt_sel_20260624185830.txt,
